District;City;Lead Time FTL;Lead Time Parsiyel;Amb Parsiyel Fiyat;TC Parsiyel Fiyat;TC Departure Day - 1;TC Departure Day - 2;Kamyon;Týr;Kamyonet
ADANA;ADANA;2;2;0,41984481;0,565174973;Cuma;Salý;1;1;0
ADAPAZARI;SAKARYA;1;1;0,27302082;0,258365702;Salý;Salý;1;1;0
ADIYAMAN;ADIYAMAN;3;3;0,5800748;0,904279957;Salý;Salý;1;1;0
AFYON;AFYON;1;2;0,41433999;0,775097106;Çarþamba;Çarþamba;1;1;0
AFYONKARAHÝSAR;AFYON;1;2;0,41433999;0,775097106;Çarþamba;Çarþamba;1;1;0
AÐRI;AÐRI;3;4;0,65589676;0,920427813;Salý;Salý;1;1;0
AHIRLI;KONYA;2;2;0,38898959;0,565174973;Salý;Salý;1;1;0
AKSARAY;AKSARAY;2;2;0,48004444;0,629766399;Salý;Salý;1;1;0
AKYAZI;SAKARYA;1;1;0,27302082;0,258365702;Salý;Salý;1;1;0
ALANYA;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
AMASYA;AMASYA;2;3;0,53031523;0,75894925;Salý;Salý;1;1;0
ANKARA;ANKARA;1;1;0,34690068;0,452139978;Salý;Cuma;1;1;0
ANTALYA;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
ARDAHAN;ARDAHAN;3;4;0,68614569;0,985019239;Salý;Salý;1;1;0
ARTVÝN;ARTVÝN;3;3;0,60435393;1,372567792;Salý;Salý;1;1;0
AYDIN;AYDIN;2;2;0,41418999;0,484435691;Çarþamba;Çarþamba;1;1;0
BALIKESÝR;BALIKESÝR;1;1;0,33790326;0,452139978;Salý;Salý;1;1;0
BANDIRMA;BALIKESÝR;1;1;0,33790326;0,452139978;Salý;Salý;1;1;0
BARTIN;BARTIN;1;2;0,51225125;0,71050568;Salý;Salý;1;1;0
BATMAN;BATMAN;3;4;0,61543605;0,807392819;Salý;Salý;1;1;0
BAYBURT;BAYBURT;3;3;0,64603868;1,162645659;Salý;Salý;1;1;0
BÝLECÝK;BÝLECÝK;1;2;0,37696471;0,419844266;Çarþamba;Çarþamba;1;1;0
BÝNGÖL;BÝNGÖL;3;3;0,68922611;0,871984244;Salý;Salý;1;1;0
BÝTLÝS;BÝTLÝS;3;3;0,64368136;0,952723526;Salý;Salý;1;1;0
BOLU;BOLU;1;1;0,36526268;0,435992122;Salý;Salý;1;1;0
BURDUR;BURDUR;2;2;0,46961162;0,629766399;Çarþamba;Çarþamba;1;1;0
BURSA;BURSA;1;1;0,28818196;0,35525284;Salý;Cuma;1;1;0
ÇANAKKALE;ÇANAKKALE;1;2;0,46494556;0,597470686;Salý;Salý;1;1;0
ÇANKIRI;ÇANKIRI;1;2;0,43959473;0,549027117;Salý;Salý;1;1;0
ÇAYCUMA;ZONGULDAK;1;2;0,4091813;0,500583548;Salý;Salý;1;1;0
ÇORLU;TEKÝRDAÐ;1;1;0,3759881;0,403696409;Çarþamba;Çarþamba;1;1;0
ÇORUM;ÇORUM;2;2;0,50582422;0,71050568;Salý;Salý;1;1;0
DENÝZLÝ;DENÝZLÝ;2;2;0,3715002;0,678209968;Salý;Salý;1;1;0
DÝYARBAKIR;DÝYARBAKIR;3;3;0,57463584;0,775097106;Salý;Salý;1;1;0
DÜZCE;DÜZCE;1;1;0,31993026;0,339104984;Salý;Salý;1;1;0
EDÝRNE;EDÝRNE;1;1;0,45823136;0,500583548;Çarþamba;Çarþamba;1;1;0
EDREMÝT;BALIKESÝR;1;1;0,33790326;0,452139978;Salý;Salý;1;1;0
ELAZIÐ;ELAZIÐ;3;3;0,60695757;0,871984244;Salý;Salý;1;1;0
ELMALI;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
ERZÝNCAN;ERZÝNCAN;2;4;0,65850755;0,952723526;Salý;Salý;1;1;0
ERZURUM;ERZURUM;3;3;0,59029291;0,775097106;Salý;Cuma;1;1;0
ESKÝÞEHÝR;ESKÝÞEHÝR;1;1;0,3114916;0,516731404;Çarþamba;Çarþamba;1;1;0
FETHÝYE;MUÐLA;2;3;0,42078439;0,678209968;Çarþamba;Cuma;1;1;0
GAZÝANTEP;GAZÝANTEP;3;3;0,4654231;0,775097106;Salý;Salý;1;1;0
GÝRESUN;GÝRESUN;2;3;0,61830882;0,855836388;Salý;Salý;1;1;0
GÜMÜÞHANE;GÜMÜÞHANE;2;4;0,61492099;1,098054233;Salý;Salý;1;1;0
HAKKARÝ;HAKKARÝ;3;4;0,74887596;1,388715648;Salý;Salý;1;1;0
HATAY;HATAY;3;3;0,52414022;0,694357824;Salý;Salý;1;1;0
IÐDIR;IÐDIR;3;4;0,71000865;1,081906377;Salý;Salý;1;1;0
ISPARTA;ISPARTA;2;2;0,47364541;0,629766399;Çarþamba;Çarþamba;1;1;0
ÝSTANBUL AND;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
ÝSTANBUL AVR;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
ÝZMÝR;ÝZMÝR;1;1;0,33511854;0,484435691;Salý;Cuma;1;1;0
ÝZMÝT;KOCAELÝ;1;1;0,18385092;0,258365702;Salý;Salý;1;1;1
K.EREÐLÝ;KONYA;2;2;0,38898959;0,565174973;Salý;Salý;1;1;0
KAHRAMANMARAÞ;KAHRAMANMARAÞ;2;3;0,55243384;0,694357824;Salý;Salý;1;1;0
KARABÜK;KARABÜK;1;2;0,45174093;0,613618542;Salý;Salý;1;1;0
KARAMAN;KARAMAN;2;2;0,47146038;0,629766399;Salý;Salý;1;1;0
KARS;KARS;3;4;0,67239472;0,952723526;Salý;Salý;1;1;0
KASTAMONU;KASTAMONU;1;2;0,5623458;0,775097106;Salý;Salý;1;1;0
KAYSERÝ;KAYSERÝ;2;2;0,40387594;0,565174973;Salý;Salý;1;1;0
KEÞAN;EDÝRNE;1;1;0,45823136;0,500583548;Çarþamba;Çarþamba;1;1;0
KIRIKKALE;KIRIKKALE;1;2;0,40425622;0,516731404;Salý;Salý;1;1;0
KIRKLARELÝ;KIRKLARELÝ;1;1;0,39198542;0,468287835;Çarþamba;Çarþamba;1;1;0
KIRÞEHÝR;KIRÞEHÝR;2;2;0,48365625;0,629766399;Salý;Salý;1;1;0
KÝLÝS;KÝLÝS;3;3;0,51159836;0,839688531;Salý;Salý;1;1;0
KOCAELÝ;KOCAELÝ;1;1;0,18385092;0,258365702;Salý;Salý;1;1;1
KONYA;KONYA;2;2;0,38898959;0,565174973;Salý;Salý;1;1;0
KULA;MANÝSA;1;1;0,38269345;0,484435691;Salý;Salý;1;1;0
KÜTAHYA;KÜTAHYA;1;2;0,40173694;0,549027117;Çarþamba;Çarþamba;1;1;0
MALATYA;MALATYA;3;3;0,60554461;1,001167095;Salý;Salý;1;1;0
MALKARA;TEKÝRDAÐ;1;1;0,3759881;0,403696409;Çarþamba;Çarþamba;1;1;0
MANAVGAT;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
MANÝSA;MANÝSA;1;1;0,38269345;0,484435691;Salý;Salý;1;1;0
MARDÝN;MARDÝN;3;4;0,61028395;0,775097106;Salý;Salý;1;1;0
MARMARÝS;MUÐLA;2;3;0,42078439;0,678209968;Çarþamba;Cuma;1;1;0
MENEMEN;ÝZMÝR;1;1;0,33511854;0,484435691;Salý;Cuma;1;1;0
MERSÝN;MERSÝN;2;2;0,47314124;0,597470686;Salý;Salý;1;1;0
MÝLAS;MUÐLA;2;3;0,42078439;0,678209968;Çarþamba;Cuma;1;1;0
MUÐLA;MUÐLA;2;3;0,42078439;0,678209968;Çarþamba;Cuma;1;1;0
MUÞ;MUÞ;3;4;0,73009953;0,985019239;Salý;Salý;1;1;0
NEVÞEHÝR;NEVÞEHÝR;2;2;0,44508655;0,565174973;Salý;Salý;1;1;0
NÝÐDE;NÝÐDE;2;3;0,48624091;0,629766399;Salý;Salý;1;1;0
ORDU;ORDU;2;3;0,52238754;0,791244962;Salý;Salý;1;1;0
OSMANÝYE;OSMANÝYE;2;2;0,47302804;0,565174973;Salý;Salý;1;1;0
RÝZE;RÝZE;3;3;0,57474125;1,130349946;Salý;Salý;1;1;0
SAKARYA;SAKARYA;1;1;0,27302082;0,258365702;Salý;Salý;1;1;0
SAMSUN;SAMSUN;2;3;0,4321746;0,694357824;Salý;Salý;1;1;0
SERÝK;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
SÝÝRT;SÝÝRT;3;4;0,64035702;0,920427813;Salý;Salý;1;1;0
SÝNOP;SÝNOP;2;2;0,54570311;0,791244962;Salý;Salý;1;1;0
SÝVAS;SÝVAS;2;3;0,54311047;0,742801393;Salý;Salý;1;1;0
ÞANLIURFA;ÞANLIURFA;3;3;0,5778673;0,968871382;Salý;Salý;1;1;0
ÞARKÖY;TEKÝRDAÐ;1;1;0,3759881;0,403696409;Çarþamba;Çarþamba;1;1;0
ÞIRNAK;ÞIRNAK;3;4;0,67160886;1,081906377;Salý;Salý;1;1;0
TEKÝRDAÐ;TEKÝRDAÐ;1;1;0,3759881;0,403696409;Çarþamba;Çarþamba;1;1;0
TOKAT;TOKAT;2;2;0,58024744;0,888132101;Salý;Salý;1;1;0
TORBALI;ÝZMÝR;1;1;0,33511854;0,484435691;Salý;Cuma;1;1;0
TRABZON;TRABZON;3;3;0,52307433;1,033462808;Salý;Salý;1;1;0
TUNCELÝ;TUNCELÝ;3;4;0,69518979;1,017314952;Salý;Salý;1;1;0
UÞAK;UÞAK;1;2;0,46017661;0,71050568;Salý;Salý;1;1;0
VAN;VAN;3;4;0,6912919;1,194941372;Salý;Salý;1;1;0
YALOVA;YALOVA;1;1;0,27343685;0,387548553;Salý;Salý;1;1;0
YOZGAT;YOZGAT;2;2;0,48642843;0,662062111;Salý;Salý;1;1;0
Z.EREÐLÝ;ZONGULDAK;1;2;0,4091813;0,500583548;Salý;Salý;1;1;0
ZONGULDAK;ZONGULDAK;1;2;0,4091813;0,500583548;Salý;Salý;1;1;0
KIRAÇ;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
B.ÇEKMECE;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
K.ÇEKMECE;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
BAYRAMPAÞA;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
BAÐCILAR;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
SAMANDIRA;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
SANCAKTEPE;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
MERTER;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
MECÝDÝYEKÖY;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
ÜMRANÝYE;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
PENDÝK;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
KOZYATAÐI;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
GÜNEÞLÝ;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
KAÐITHANE;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
B.EVLER;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
TUZLA;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
TOPKAPI;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
ZEYTÝNBURNU;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
FULYA;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
KARTAL;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
KADIKÖY;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
BEÞÝKTAÞ;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
MALTEPE;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
GÜNGÖREN;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
DUDULLU;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
KÜÇÜKYALI;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
ÜSKÜDAR;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
KEMERBURGAZ;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
ESENYURT;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
BEYLÝKDÜZÜ;ÝSTANBUL AVR.;1;1;0,27883457;0,306809271;Salý;Cuma;1;1;1
ÜMRANÝYE;ÝSTANBUL AND.;1;1;0,21275316;0,242217846;Pazartesi;Perþembe;1;1;1
GEBZE;KOCAELÝ;1;1;0,18385092;0,258365702;Pazartesi;Perþembe;1;1;1
SÝDE;ANTALYA;2;2;0,39714489;0,565174973;Çarþamba;Cuma;1;1;0
SALÝHLÝ;MANÝSA;1;1;0,38269345;0,484435691;Salý;Salý;1;1;0
TURGUTLU;MANÝSA;1;1;0,38269345;0,484435691;Salý;Salý;1;1;0
AKHÝSAR;MANÝSA;1;1;0,38269345;0,484435691;Salý;Salý;1;1;0
